date,ページタイトル,URL,訪問数,直帰率,平均滞在時間,CV数,CV率
2025-01-03,トップページ,www.goodpc.com/index.html,4000,35%,0:02:45,67,1.67%
2025-01-03,製品情報一覧ページ,www.goodpc.com/products/index.html,2700,40%,0:03:00,50,1.88%
2025-01-03,ハイグレードモデルのPCページ,www.goodpc.com/products/high-end/index.html,1000,30%,0:03:30,20,2.00%
2025-01-03,ミドルモデルのPCページ,www.goodpc.com/products/mid-range/index.html,830,38%,0:03:00,16,2.00%
2025-01-03,エントリーモデルのPCページ,www.goodpc.com/products/entry-level/index.html,1160,25%,0:02:20,58,5.00%
2025-01-03,ハイグレードモデルのお問い合わせページ,www.goodpc.com/products/high-end/contact.html,167,20%,0:01:30,17,10.00%
2025-01-03,ミドルモデルのお問い合わせページ,www.goodpc.com/products/mid-range/contact.html,100,25%,0:01:20,10,10.00%
2025-01-03,エントリーモデルのお問い合わせページ,www.goodpc.com/products/entry-level/contact.html,133,18%,0:01:40,20,15.00%
2025-01-03,直接お問い合わせページ（営業担当直通）,www.goodpc.com/direct-contact/index.html,233,70%,0:02:00,23,10.00%
2025-01-03,企業情報ページ,www.goodpc.com/about/index.html,833,50%,0:01:45,7,0.80%
2025-01-03,BtoBサービスページ,www.goodpc.com/b2b/index.html,500,55%,0:02:00,13,2.67%
2025-01-03,FAQページ,www.goodpc.com/support/faq.html,333,60%,0:01:00,2,0.50%
2025-01-06,トップページ,www.goodpc.com/index.html,4010,35%,0:02:45,68,1.67%
2025-01-06,製品情報一覧ページ,www.goodpc.com/products/index.html,2708,40%,0:03:00,51,1.88%
2025-01-06,ハイグレードモデルのPCページ,www.goodpc.com/products/high-end/index.html,1005,30%,0:03:30,20,2.00%
2025-01-06,ミドルモデルのPCページ,www.goodpc.com/products/mid-range/index.html,832,38%,0:03:00,16,2.00%
2025-01-06,エントリーモデルのPCページ,www.goodpc.com/products/entry-level/index.html,1167,25%,0:02:20,60,5.00%
2025-01-06,ハイグレードモデルのお問い合わせページ,www.goodpc.com/products/high-end/contact.html,169,20%,0:01:30,18,10.00%
2025-01-06,ミドルモデルのお問い合わせページ,www.goodpc.com/products/mid-range/contact.html,101,25%,0:01:20,10,10.00%
2025-01-06,エントリーモデルのお問い合わせページ,www.goodpc.com/products/entry-level/contact.html,134,18%,0:01:40,21,15.00%
2025-01-06,直接お問い合わせページ（営業担当直通）,www.goodpc.com/direct-contact/index.html,236,70%,0:02:00,23,10.00%
2025-01-06,企業情報ページ,www.goodpc.com/about/index.html,834,50%,0:01:45,7,0.80%
2025-01-06,BtoBサービスページ,www.goodpc.com/b2b/index.html,501,55%,0:02:00,13,2.67%
2025-01-06,FAQページ,www.goodpc.com/support/faq.html,334,60%,0:01:00,2,0.50%
2025-01-09,トップページ,www.goodpc.com/index.html,4020,35%,0:02:45,69,1.67%
2025-01-09,製品情報一覧ページ,www.goodpc.com/products/index.html,2716,40%,0:03:00,52,1.88%
